,title,published_date,img_url,image_url
2924,THE TIME KEEPER,2013-01-06,,https://storage.googleapis.com/du-prd/books/images/9781401322786.jpg
573,CROSS ROADS,2013-01-06,,
3157,TWO GRAVES,2012-12-30,,https://storage.googleapis.com/du-prd/books/images/9780446554992.jpg
2792,THE ROUND HOUSE,2012-12-30,,
515,COLD DAYS,2012-12-23,,https://storage.googleapis.com/du-prd/books/images/9780451464408.jpg
2741,THE PERFECT HOPE,2012-12-23,,https://storage.googleapis.com/du-prd/books/images/9781101612231.jpg
81,A LEAF ON THE WIND OF ALL HALLOWS,2012-12-23,,https://storage.googleapis.com/du-prd/books/images/9780345545374.jpg
3338,WINTER OF THE WORLD,2012-12-23,,https://storage.googleapis.com/du-prd/books/images/9781101591437.jpg
3115,TRAPPED,2012-12-16,,
1923,SHADOW’S CLAIM,2012-12-16,,https://storage.googleapis.com/du-prd/books/images/9781451650051.jpg
1469,NAKED,2012-12-09,,https://storage.googleapis.com/du-prd/books/images/9781301886081.jpg
177,ALL IN,2012-12-09,,https://storage.googleapis.com/du-prd/books/images/9781301501953.jpg
1673,POSEIDON'S ARROW,2012-12-09,,https://storage.googleapis.com/du-prd/books/images/9780399162923.jpg
2730,THE PANTHER,2012-12-02,,https://storage.googleapis.com/du-prd/books/images/9781455518371.jpg
2818,THE SECRET OF ELLA AND MICHA,2012-12-02,,https://storage.googleapis.com/du-prd/books/images/A00B009LBO334.jpg
2110,SWEET TOOTH,2012-12-02,,https://storage.googleapis.com/du-prd/books/images/9780385536837.jpg
1243,LEAVE ME BREATHLESS,2012-12-02,,
1667,PLUM ISLAND,2012-11-25,,https://storage.googleapis.com/du-prd/books/images/9780759528338.jpg
507,CLOUD ATLAS,2012-11-25,,https://storage.googleapis.com/du-prd/books/images/9780375507250.jpg
1544,NYPD RED,2012-11-25,,https://storage.googleapis.com/du-prd/books/images/9780316199865.jpg
2635,THE MARRIAGE MISTAKE,2012-11-25,,https://storage.googleapis.com/du-prd/books/images/9781476717531.jpg
2850,THE SINS OF THE MOTHER,2012-11-25,,https://storage.googleapis.com/du-prd/books/images/9780345535788.jpg
351,BLACKBERRY WINTER,2012-11-18,,https://storage.googleapis.com/du-prd/books/images/9781101603499.jpg
1315,LOSING IT,2012-11-18,,
2801,THE SAFE MAN,2012-11-18,,
1901,SHADOW,2012-11-18,,
1112,ICED,2012-11-18,,https://storage.googleapis.com/du-prd/books/images/9780385344401.jpg
259,BACK TO BLOOD,2012-11-11,,https://storage.googleapis.com/du-prd/books/images/9780316036313.jpg
2255,THE BRIDGE,2012-11-11,,https://storage.googleapis.com/du-prd/books/images/9781451647020.jpg
215,ANGELS AT THE TABLE,2012-11-11,,
1464,MY KIND OF CHRISTMAS,2012-11-11,,https://storage.googleapis.com/du-prd/books/images/9780778313854.jpg
725,DOWN TO YOU,2012-11-11,,https://storage.googleapis.com/du-prd/books/images/A00B009FG00N2.jpg
2937,THE TWELVE,2012-11-04,,https://storage.googleapis.com/du-prd/books/images/9780345534897.jpg
1354,MAD RIVER,2012-11-04,,https://storage.googleapis.com/du-prd/books/images/9780399157707.jpg
1328,LOVE LEFT BEHIND,2012-11-04,,
1970,SLEEP NO MORE,2012-11-04,,https://storage.googleapis.com/du-prd/books/images/9780312651305.jpg
2817,THE SECRET KEEPER,2012-11-04,,https://storage.googleapis.com/du-prd/books/images/9781439163092.jpg
1345,LOW PRESSURE,2012-10-28,,https://storage.googleapis.com/du-prd/books/images/9781455501533.jpg
1294,LIVE BY NIGHT,2012-10-28,,
1650,PHANTOM,2012-10-28,,
624,DARK STORM,2012-10-28,,https://storage.googleapis.com/du-prd/books/images/9780425255803.jpg
810,FALL OF GIANTS,2012-10-28,,https://storage.googleapis.com/du-prd/books/images/9780451232854.jpg
1490,NEVER SEDUCE A SCOT,2012-10-14,,
1894,SEVERE CLEAR,2012-10-14,,https://storage.googleapis.com/du-prd/books/images/9781101600535.jpg
1724,RAPTURE,2012-10-14,,https://storage.googleapis.com/du-prd/books/images/9780451414793.jpg
62,A FOOL'S GOLD CHRISTMAS,2012-10-14,,https://storage.googleapis.com/du-prd/books/images/9781459241244.jpg
2006,SOMETHING WITCHY THIS WAY COMES,2012-10-14,,https://storage.googleapis.com/du-prd/books/images/9780345531599.jpg
680,DELUSION IN DEATH,2012-10-14,,https://storage.googleapis.com/du-prd/books/images/9781101600207.jpg
2557,THE LADY RISKS ALL,2012-10-14,,
3368,"WRONG BED, RIGHT GUY",2012-10-07,,https://storage.googleapis.com/du-prd/books/images/2940014977647.jpg
1953,SIMPLY IRRESISTIBLE,2012-10-07,,https://storage.googleapis.com/du-prd/books/images/9780446576468.jpg
