,runnerId,age,gender,countryCode,racesCount,Usa citizen
24478,41761726,37,M,USA,12,1
24479,41779954,25,W,USA,4,1
24480,41805132,37,W,POL,1,0
24481,41752292,44,M,USA,26,1
24482,41802098,32,W,USA,1,1
24483,41758003,52,M,USA,1,1
24484,41788101,53,W,USA,1,1
24485,41791399,27,W,USA,1,1
24486,41775663,51,M,POL,3,0
24487,41800248,64,M,FRA,1,0
24488,41752031,40,M,USA,65,1
24489,41786394,23,W,USA,2,1
24490,41802102,35,M,USA,1,1
24491,41764298,56,M,DOM,2,0
24492,41758235,33,W,USA,15,1
24493,41762000,55,W,ARG,1,0
24494,41754083,28,M,USA,1,1
24495,41787154,38,W,USA,1,1
24496,41781914,27,W,USA,11,1
24497,41781042,23,W,USA,1,1
24498,41775756,24,W,USA,17,1
24499,41756575,42,W,USA,2,1
24500,41784694,23,M,USA,2,1
24501,41784181,33,M,USA,7,1
24502,41778117,31,M,USA,20,1
24503,41766625,48,W,USA,1,1
24504,41761448,37,W,CAN,1,0
24505,41761816,41,W,USA,9,1
24506,41797234,43,M,ITA,1,0
24507,41765681,54,M,USA,5,1
24508,41804127,70,M,BEL,1,0
24509,41764230,40,M,CHL,1,0
24510,41759268,26,W,USA,15,1
24511,41786469,25,W,USA,1,1
24512,41773525,52,M,SGP,1,0
24513,41777071,32,W,USA,20,1
24514,41764165,44,W,USA,1,1
24515,41767746,60,M,DEU,2,0
24516,41751577,44,M,USA,174,1
24517,41804313,30,W,ARG,2,0
24518,41779045,32,W,USA,10,1
24519,41755396,33,W,USA,4,1
24520,41771591,36,M,USA,21,1
24521,41786008,41,W,CAN,1,0
24522,41765467,29,W,USA,3,1
24523,41785468,32,M,USA,15,1
24524,41783202,27,W,USA,2,1
24525,41760285,58,M,USA,37,1
24526,41793574,47,M,USA,1,1
24527,41796183,32,M,ITA,1,0
24528,41750653,55,M,USA,248,1
24529,41753962,62,M,USA,1,1
24530,41755853,28,W,USA,19,1
24531,41799768,33,M,DEU,2,0
24532,41765290,38,M,USA,3,1
24533,41755481,36,W,USA,59,1
24534,41785055,26,W,USA,10,1
24535,41797845,49,M,GBR,1,0
24536,41763231,47,M,ESP,6,0
24537,41772592,28,M,USA,26,1
24538,41763248,46,W,ESP,2,0
24539,41772727,26,M,USA,3,1
24540,41775605,46,W,USA,8,1
24541,41784686,31,M,USA,3,1
24542,41790623,37,M,DEU,1,0
24543,41783255,41,W,USA,2,1
24544,41804606,46,W,USA,1,1
24545,41799663,46,M,CHE,1,0
24546,41761165,32,M,USA,5,1
24547,41755546,54,M,USA,21,1
24548,41769853,54,M,MYS,2,0
24549,41784032,25,M,USA,2,1
24550,41789575,39,M,USA,1,1
24551,41779486,37,W,CRI,1,0
24552,41785557,33,W,USA,1,1
24553,41758661,34,M,USA,6,1
24554,41788686,42,W,USA,1,1
24555,41798164,30,W,USA,1,1
24556,41762797,32,M,USA,11,1
24557,41799114,39,W,FRA,1,0
24558,41789831,36,W,BRA,1,0
24559,41766629,43,M,ESP,2,0
24560,41805020,51,M,HRV,1,0
24561,41803715,57,M,DEU,1,0
24562,41752880,51,W,USA,30,1
24563,41782436,26,W,USA,10,1
24564,41775905,26,W,USA,2,1
24565,41802607,36,W,CHE,1,0
24566,41796067,38,M,USA,1,1
24567,41778128,28,M,USA,13,1
24568,41760360,34,W,USA,9,1
24569,41753654,41,W,USA,8,1
24570,41775477,24,W,USA,3,1
24571,41791120,56,M,USA,1,1
24572,41766314,30,W,USA,6,1
24573,41805682,31,M,USA,1,1
24574,41757912,56,M,ARG,1,0
24575,41803769,22,W,POL,1,0
24576,41773598,32,M,PHL,2,0
24577,41776577,26,W,USA,20,1
24578,41765573,29,W,USA,36,1
24579,41755451,40,W,USA,42,1
24580,41770882,33,M,USA,12,1
24581,41750904,67,M,USA,106,1
24582,41774578,28,W,USA,3,1
24583,41802054,43,M,ESP,1,0
24584,41780241,35,W,USA,1,1
24585,41799907,47,W,AUS,1,0
24586,41778077,34,M,USA,2,1
24587,41767527,29,W,USA,2,1
24588,41793557,27,W,USA,1,1
24589,41798430,45,M,ITA,1,0
24590,41804706,49,W,DEU,1,0
24591,41781729,44,M,POL,1,0
24592,41758884,35,M,USA,30,1
24593,41763449,40,M,USA,1,1
24594,41758657,36,M,USA,57,1
24595,41802697,20,W,SWE,1,0
24596,41768301,40,W,USA,1,1
24597,41751564,48,M,USA,126,1
24598,41803759,24,M,MEX,1,0
24599,41765076,34,W,USA,36,1
24600,41795030,56,M,NLD,1,0
24601,41786087,79,M,USA,1,1
24602,41775206,26,M,USA,2,1
24603,41761904,38,M,USA,25,1
24604,41784827,26,W,USA,1,1
24605,41801031,27,M,USA,1,1
24606,41768260,59,W,CAN,1,0
24607,41793230,31,M,USA,1,1
24608,41797852,60,M,GBR,1,0
24609,41781177,28,W,USA,10,1
24610,41764035,34,W,USA,35,1
24611,41797298,66,M,ITA,1,0
24612,41755012,49,M,USA,27,1
24613,41780813,60,M,FRA,3,0
24614,41802681,45,M,USA,1,1
24615,41783521,61,W,USA,2,1
24616,41750836,57,M,USA,61,1
24617,41792476,58,M,CAN,1,0
24618,41784606,41,M,USA,2,1
24619,41777838,23,W,USA,20,1
24620,41790149,41,M,USA,1,1
24621,41787925,29,M,USA,1,1
24622,41791946,63,M,FRA,1,0
24623,41802435,45,W,DEU,1,0
24624,41791704,41,W,FRA,2,0
24625,41771506,29,M,USA,1,1
24626,41801694,33,M,FRA,1,0
24627,41792259,31,W,MEX,1,0
24628,41790357,37,M,USA,1,1
24629,41755755,64,W,SWE,9,0
24630,41753164,75,W,USA,8,1
24631,41789660,28,M,USA,1,1
24632,41771823,25,W,USA,20,1
24633,41799140,28,M,USA,1,1
24634,41770959,61,M,PER,8,0
24635,41800726,51,M,CHN,1,0
24636,41757202,44,W,ITA,4,0
24637,41782987,35,M,USA,19,1
24638,41781211,56,W,USA,1,1
24639,41774074,27,M,USA,1,1
24640,41782142,27,M,USA,13,1
24641,41791701,40,M,FRA,1,0
24642,41802145,31,M,POL,1,0
24643,41779419,59,M,USA,1,1
24644,41753568,61,M,USA,35,1
24645,41777361,32,M,USA,10,1
24646,41790097,30,M,MEX,1,0
24647,41803743,42,W,COL,1,0
24648,41771926,39,M,USA,26,1
24649,41790993,36,M,USA,1,1
24650,41805253,45,M,ISR,1,0
24651,41788262,27,W,USA,1,1
24652,41803782,25,M,MEX,1,0
24653,41755917,54,M,USA,47,1
24654,41779809,25,W,USA,2,1
24655,41786510,51,W,FRA,2,0
24656,41767395,33,W,USA,3,1
24657,41761006,51,M,USA,49,1
24658,41767379,29,W,USA,12,1
24659,41788497,30,M,USA,1,1
24660,41780200,29,M,USA,11,1
24661,41802383,50,M,CHE,1,0
24662,41761015,40,M,USA,24,1
24663,41786509,48,M,FRA,2,0
24664,41789621,29,W,USA,1,1
24665,41802338,55,M,DEU,1,0
24666,41764923,31,M,USA,21,1
24667,41789769,30,W,USA,1,1
24668,41792946,38,M,USA,1,1
24669,41789355,43,M,BRA,2,0
24670,41763371,45,M,CAN,3,0
24671,41763369,30,W,USA,22,1
24672,41797170,46,M,ITA,1,0
24673,41770740,46,M,USA,5,1
24674,41752703,45,W,USA,36,1
24675,41762756,61,M,CHE,3,0
24676,41776252,27,M,USA,21,1
24677,41804071,37,M,NLD,1,0
24678,41764226,47,W,COL,4,0
24679,41796397,63,M,ITA,1,0
24680,41763713,33,W,USA,4,1
24681,41801306,70,M,CHN,1,0
24682,41755946,38,M,USA,11,1
24683,41800044,34,W,IRL,1,0
24684,41802065,45,W,NOR,1,0
24685,41800596,58,M,BEL,1,0
24686,41756603,39,M,USA,10,1
24687,41753787,65,M,FRA,3,0
24688,41802111,52,M,DEU,1,0
24689,41755338,40,M,PAK,1,0
24690,41774863,52,M,USA,13,1
24691,41777366,26,W,USA,12,1
24692,41771528,37,W,USA,36,1
24693,41776346,34,M,USA,11,1
24694,41774247,38,W,USA,13,1
24695,41770881,28,W,USA,20,1
24696,41764915,29,W,USA,12,1
24697,41776322,40,M,USA,4,1
24698,41768563,58,W,CRI,1,0
24699,41793291,27,M,USA,1,1
24700,41768019,27,W,USA,9,1
24701,41773675,47,W,USA,7,1
24702,41776400,38,M,USA,22,1
24703,41786205,30,M,USA,3,1
24704,41776857,24,W,USA,1,1
24705,41786354,26,W,USA,1,1
24706,41751236,64,M,USA,154,1
24707,41775701,22,W,USA,2,1
24708,41804133,31,M,USA,1,1
24709,41795993,20,W,USA,1,1
24710,41776595,30,W,USA,12,1
24711,41767185,27,W,USA,13,1
24712,41755513,57,M,FRA,2,0
24713,41757355,52,W,USA,5,1
24714,41792083,52,M,MAR,1,0
24715,41777615,29,W,USA,10,1
24716,41755561,36,W,USA,23,1
24717,41783755,39,W,ISR,1,0
24718,41805404,55,M,ISR,1,0
24719,41771963,28,W,USA,1,1
24720,41760805,45,M,USA,121,1
24721,41756816,37,M,USA,22,1
24722,41804935,54,M,NLD,1,0
24723,41785031,37,M,USA,16,1
24724,41762916,43,W,USA,21,1
24725,41778522,29,W,USA,11,1
24726,41767222,57,W,BRA,1,0
24727,41750668,50,M,USA,43,1
24728,41775937,31,M,USA,13,1
24729,41769760,56,M,POL,2,0
24730,41756445,28,W,USA,23,1
24731,41774539,28,M,USA,9,1
24732,41799200,54,M,FRA,1,0
24733,41776643,27,M,USA,17,1
24734,41801922,56,M,CHE,1,0
24735,41776708,50,M,ARE,2,0
24736,41787861,57,W,GBR,2,0
24737,41782961,33,M,USA,1,1
24738,41750748,46,W,USA,65,1
24739,41790267,29,M,USA,1,1
24740,41786583,33,M,FRA,1,0
24741,41786653,40,M,FRA,1,0
24742,41786652,40,M,FRA,1,0
24743,41804946,40,M,USA,1,1
24744,41786683,60,M,FRA,2,0
24745,41758604,32,W,USA,31,1
24746,41773777,27,W,USA,17,1
24747,41797312,35,M,ITA,1,0
24748,41797602,19,M,ITA,1,0
24749,41774534,29,M,USA,14,1
24750,41802521,45,W,NOR,1,0
24751,41777744,29,W,USA,12,1
24752,41755543,38,M,USA,33,1
24753,41785883,50,M,NLD,1,0
24754,41797597,52,M,ITA,1,0
24755,41785884,19,W,NLD,1,0
24756,41804965,45,M,ETH,1,0
24757,41758083,60,M,USA,3,1
24758,41766025,38,W,USA,26,1
24759,41762495,35,M,USA,42,1
24760,41785005,21,W,USA,1,1
24761,41767592,25,W,USA,23,1
24762,41785897,30,M,USA,2,1
24763,41786680,50,W,FRA,2,0
24764,41777500,28,W,USA,3,1
24765,41779344,64,W,CAN,2,0
24766,41759936,53,M,USA,32,1
24767,41797736,51,W,NOR,1,0
24768,41763401,29,W,USA,49,1
24769,41752813,43,W,USA,5,1
24770,41765083,52,M,USA,2,1
24771,41785058,31,W,CAN,1,0
24772,41787546,27,W,USA,1,1
24773,41765799,48,M,USA,30,1
24774,41767698,41,M,USA,29,1
24775,41785419,35,W,USA,2,1
24776,41752601,59,M,USA,13,1
24777,41784333,49,W,USA,2,1
24778,41801676,48,M,ITA,1,0
24779,41788882,53,M,USA,1,1
24780,41751578,52,M,USA,25,1
24781,41752352,43,M,USA,81,1
24782,41785453,49,W,POL,1,0
24783,41764575,33,M,MEX,1,0
24784,41765683,34,M,USA,12,1
24785,41752484,50,M,USA,183,1
24786,41767167,44,W,USA,3,1
24787,41782955,33,W,USA,1,1
24788,41804307,40,M,GBR,1,0
24789,41770232,34,M,USA,24,1
24790,41784117,26,M,USA,2,1
24791,41791108,53,W,USA,1,1
24792,41765382,34,M,USA,13,1
24793,41803547,45,M,GBR,1,0
24794,41800403,55,W,FRA,1,0
24795,41784472,22,M,USA,1,1
24796,41801202,42,W,ZAF,1,0
24797,41781859,31,M,USA,2,1
24798,41780712,42,M,USA,1,1
24799,41775570,39,M,USA,3,1
24800,41785698,35,M,USA,14,1
24801,41783508,25,W,USA,3,1
24802,41771628,45,W,SRB,1,0
24803,41754245,40,M,USA,34,1
24804,41764468,50,W,ITA,1,0
24805,41795546,26,M,USA,1,1
24806,41793513,36,W,USA,1,1
24807,41781236,33,M,USA,21,1
24808,41804273,30,M,USA,1,1
24809,41777185,21,W,USA,1,1
24810,41750526,48,M,USA,151,1
24811,41752763,58,W,AUS,1,0
24812,41804455,25,W,USA,1,1
24813,41795468,26,W,USA,1,1
24814,41800502,32,W,ITA,1,0
24815,41762481,30,W,USA,1,1
24816,41796024,25,M,USA,1,1
24817,41801880,34,M,FIN,1,0
24818,41795599,41,W,USA,1,1
24819,41761997,42,M,USA,15,1
24820,41779884,32,W,FRA,1,0
24821,41761429,56,M,ESP,3,0
24822,41759418,54,M,USA,1,1
24823,41798100,35,M,FRA,1,0
24824,41784536,33,W,GBR,1,0
24825,41778954,27,M,USA,2,1
24826,41768547,38,M,BRA,1,0
24827,41752870,39,M,USA,4,1
24828,41772283,27,W,USA,16,1
24829,41752869,39,M,USA,11,1
24830,41768506,41,M,USA,2,1
24831,41773609,45,M,USA,1,1
24832,41771398,48,W,FRA,1,0
24833,41763477,39,M,USA,20,1
24834,41778012,27,W,USA,17,1
24835,41762589,32,M,USA,26,1
24836,41758931,48,W,GBR,2,0
24837,41756194,39,M,USA,31,1
24838,41773512,59,M,USA,26,1
24839,41763599,47,M,USA,20,1
24840,41788083,35,M,USA,1,1
24841,41782235,37,M,USA,1,1
24842,41797002,44,W,NOR,1,0
24843,41803860,37,M,DEU,1,0
24844,41783619,41,M,USA,3,1
24845,41778790,31,W,USA,2,1
24846,41789743,32,M,USA,1,1
24847,41764523,49,M,USA,8,1
24848,41768531,55,W,NOR,1,0
24849,41778649,39,M,USA,14,1
24850,41798568,48,M,ZAF,1,0
24851,41777197,33,W,USA,10,1
24852,41784736,50,M,USA,1,1
24853,41777916,25,W,USA,14,1
24854,41799290,70,M,DEU,1,0
24855,41791916,25,W,FRA,1,0
24856,41798630,35,W,SWE,1,0
24857,41754342,56,W,USA,46,1
24858,41788061,50,M,USA,1,1
24859,41766911,29,W,USA,12,1
24860,41789249,31,M,GBR,1,0
24861,41791662,52,M,FRA,1,0
24862,41781259,26,W,USA,1,1
24863,41783174,54,M,ARG,1,0
24864,41800904,42,M,FRA,1,0
24865,41801179,31,M,NLD,1,0
24866,41799426,31,W,BRA,1,0
24867,41767646,28,W,USA,2,1
24868,41773498,32,M,BRA,1,0
24869,41775776,34,M,USA,12,1
24870,41802418,40,M,POL,1,0
24871,41781598,24,W,USA,1,1
24872,41763552,46,M,USA,1,1
24873,41766258,37,M,USA,50,1
24874,41797514,37,M,USA,1,1
24875,41783848,47,W,USA,2,1
24876,41785538,41,W,MEX,1,0
24877,41758998,45,M,USA,14,1
24878,41758040,45,M,GBR,2,0
24879,41795406,26,W,USA,1,1
24880,41771874,28,M,USA,15,1
24881,41784176,48,M,USA,4,1
24882,41761752,69,M,JPN,5,0
24883,41785886,25,M,USA,2,1
24884,41778895,25,W,USA,1,1
24885,41762052,54,M,USA,26,1
24886,41762079,40,M,USA,21,1
24887,41783881,29,W,AUS,2,0
24888,41771001,26,M,USA,4,1
24889,41774688,33,W,USA,21,1
24890,41769268,43,M,FRA,1,0
24891,41777283,40,M,USA,13,1
24892,41787049,35,W,USA,1,1
24893,41780020,34,W,USA,4,1
24894,41766824,39,W,BRA,1,0
24895,41771285,25,W,USA,6,1
24896,41778984,31,M,FRA,2,0
24897,41763652,39,W,USA,1,1
24898,41758802,54,M,NLD,7,0
24899,41792017,40,M,FRA,1,0
24900,41793290,30,W,USA,1,1
24901,41796802,38,W,FRA,1,0
